knum	threshold	score_type	profile_type	F-measure	nseq	nseq_used	alen	mlen	eff_nseq	re/pos	definition
K00057	278.07	full	all	0.943353	8378	6885	2378	507	6.57	0.590	glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]
K00058	327.70	full	all	0.764981	13058	11405	5459	526	8.80	0.590	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]
K00059	270.00	full	all	0.461551	35230	30837	7641	440	17.75	0.590	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
K00060	349.90	domain	all	0.981369	2372	1853	1031	484	3.50	0.590	threonine 3-dehydrogenase [EC:1.1.1.103]
K00061	509.60	domain	all	0.948618	363	338	1022	397	1.97	0.590	11-cis-retinol dehydrogenase [EC:1.1.1.315]
K00062	334.50	full	all	0.941940	91	90	822	361	1.52	0.590	D-arabinose 1-dehydrogenase [EC:1.1.1.116]
K00063	433.57	domain	all	1.000000	36	35	383	318	0.80	0.592	D-arabinose 1-dehydrogenase [EC:1.1.1.117]
K00064	263.63	full	all	0.964251	1753	1638	1835	415	4.65	0.590	D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]
K00065	334.10	domain	all	0.929471	2570	2103	971	342	3.45	0.590	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]
K00066	481.80	full	all	0.991974	497	440	696	437	1.54	0.590	GDP-mannose 6-dehydrogenase [EC:1.1.1.132]
K00067	300.30	full	all	0.816562	6981	6336	3744	419	10.13	0.590	dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]
K00068	280.60	domain	all	0.994006	847	504	628	283	1.73	0.590	sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]
K00069	216.83	domain	all	0.931989	1711	1602	2600	497	6.95	0.590	15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]
K00070	427.80	full	trim	0.879204	662	636	1715	544	3.66	0.590	3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1]
K00071	434.00	domain	all	0.968944	386	364	1689	537	1.84	0.590	corticosteroid 11-beta-dehydrogenase isozyme 2 [EC:1.1.1.-]
K00072	195.40	full	all	0.964572	851	810	1354	364	4.74	0.590	sepiapterin reductase [EC:1.1.1.153]
K00073	543.23	full	all	0.997567	300	207	431	350	0.89	0.591	ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]
K00074	406.90	domain	all	0.769389	8335	7535	4213	515	9.03	0.590	3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]
K00075	88.27	full	all	0.993746	8166	6992	3901	523	8.68	0.590	UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]
K00076	272.27	domain	trim	0.848288	1061	785	651	349	4.26	0.590	7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]
K00077	78.53	full	all	0.987915	8454	7373	4839	381	14.96	0.590	2-dehydropantoate 2-reductase [EC:1.1.1.169]
K00078	259.27	full	all	0.965333	1028	995	3204	740	5.51	0.590	dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]
K00079	317.03	domain	all	0.759520	1860	1785	2762	383	5.25	0.590	carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197]
K00081	438.87	domain	all	0.937855	116	111	810	308	1.21	0.591	carbonyl reductase 2 [EC:1.1.1.184]
K00082	350.83	full	all	1.000000	15	7	222	207	0.52	0.592	5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]
K00083	548.43	domain	all	0.547830	1143	1056	1179	484	1.91	0.591	cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]
K00084	453.13	domain	trim	0.679921	233	219	560	282	1.87	0.589	carbonyl reductase 3 [EC:1.1.1.184]
K00085	666.53	full	all	1.000000	8	8	310	310	0.43	0.590	aldose-6-phosphate reductase (NADPH2) [EC:1.1.1.200]
K00086	614.37	full	all	0.934524	170	124	466	386	1.43	0.590	1,3-propanediol dehydrogenase [EC:1.1.1.202]
K00087	866.53	domain	trim	0.764920	514	329	1561	750	3.04	0.590	xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]
K00088	359.47	full	all	0.919299	11309	9336	5417	720	4.01	0.590	IMP dehydrogenase [EC:1.1.1.205]
K00089	737.93	full	all	0.666667	6	5	344	323	0.42	0.586	3alpha-hydroxysteroid 3-dehydrogenase [EC:1.1.1.213 1.1.1.357]
K00090	434.13	domain	trim	0.797285	1632	1269	550	325	1.61	0.590	glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]
K00091	334.37	full	all	0.961201	542	469	705	343	2.82	0.590	dihydroflavonol-4-reductase [EC:1.1.1.219]
K00093	549.37	domain	all	0.667053	3	3	389	381	0.59	0.592	methanol dehydrogenase [EC:1.1.1.244]
K00094	480.90	full	all	0.977658	218	114	386	347	0.78	0.590	galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]
K00095	747.43	domain	all	0.650794	4	4	365	360	0.44	0.592	mannitol dehydrogenase [EC:1.1.1.255]
K00096	161.73	full	trim	0.997017	1323	1175	1218	498	7.37	0.590	glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]
K00097	423.80	full	all	0.845175	3936	3431	2119	480	3.84	0.590	4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]
K00098	355.23	domain	all	0.990765	1008	874	732	359	1.79	0.590	L-idonate 5-dehydrogenase [EC:1.1.1.264]
K00099	220.00	full	all	1.000000	7027	6076	2303	494	2.71	0.590	1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]
K00100	546.57	full	all	0.940420	110	97	472	387	1.31	0.591	butanol dehydrogenase [EC:1.1.1.-]
K00101	469.07	full	all	0.512791	4001	3369	4199	704	5.29	0.590	L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]
K00102	520.30	full	all	0.954326	2716	2523	6806	704	5.25	0.590	D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]
K00103	391.53	full	all	0.906623	1119	1069	3530	559	5.97	0.590	L-gulonolactone oxidase [EC:1.1.3.8]
K00104	525.30	full	all	0.920037	4660	4164	3472	686	8.03	0.590	glycolate dehydrogenase FAD-linked subunit [EC:1.1.99.14]
K00105	824.20	full	all	0.958088	260	206	985	609	1.05	0.591	alpha-glycerophosphate oxidase [EC:1.1.3.21]
K00106	1511.83	full	all	0.771544	2007	1991	11855	1591	3.00	0.590	xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]
K00107	461.13	domain	all	0.980299	133	129	1187	556	1.65	0.590	D-arabinono-1,4-lactone oxidase [EC:1.1.3.37]
K00108	749.70	full	all	0.959905	2610	2255	4664	722	3.14	0.590	choline dehydrogenase [EC:1.1.99.1]
K00109	428.83	full	all	0.938708	948	919	2305	470	2.32	0.590	2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]
K00111	148.27	full	all	0.928330	9779	8593	8126	681	8.60	0.590	glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]
K00112	106.20	full	all	0.993387	874	676	1048	463	4.72	0.590	glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]
K00113	272.20	full	trim	0.995988	1124	877	1303	493	3.22	0.590	glycerol-3-phosphate dehydrogenase subunit C
K00114	664.50	full	all	0.788562	953	861	2598	862	7.17	0.590	alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]
K00115	719.57	domain	all	0.949719	714	694	2766	732	2.23	0.590	glucose 1-dehydrogenase (FAD, quinone) [EC:1.1.5.9]
K00116	200.57	full	all	0.999656	3476	2913	1657	550	2.34	0.590	malate dehydrogenase (quinone) [EC:1.1.5.4]
K00117	814.20	full	all	0.720271	2093	1822	4485	849	7.02	0.590	quinoprotein glucose dehydrogenase [EC:1.1.5.2]
K00118	324.80	full	all	0.943911	260	235	812	394	3.84	0.590	glucose-fructose oxidoreductase [EC:1.1.99.28]
K00119	529.07	full	all	0.979727	197	151	571	370	1.08	0.591	alcohol dehydrogenase (nicotinoprotein) [EC:1.1.99.36]
K00120	441.23	full	all	0.988506	77	46	817	379	0.92	0.591	F420-dependent hydroxymycolic acid dehydrogenase [EC:1.1.98.-]
K00121	631.87	full	all	0.708175	7455	6399	3226	589	5.01	0.590	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]
K00122	235.00	domain	trim	0.990417	847	736	1619	718	3.16	0.590	formate dehydrogenase [EC:1.17.1.9]
K00123	855.83	full	all	0.667528	5886	4967	5927	919	6.34	0.590	formate dehydrogenase major subunit [EC:1.17.1.9]
K00124	156.53	domain	trim	0.698047	3979	3249	2559	331	6.13	0.590	formate dehydrogenase iron-sulfur subunit
K00125	202.23	full	all	1.000000	308	280	647	388	3.11	0.590	formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]
K00126	49.20	full	all	0.998728	922	782	337	130	5.34	0.590	formate dehydrogenase subunit delta [EC:1.17.1.9]
K00127	93.13	full	trim	0.705261	3319	2674	1780	309	13.20	0.590	formate dehydrogenase subunit gamma
K00128	597.17	full	all	0.295639	15351	14191	10878	600	8.60	0.590	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
K00129	768.87	full	all	0.624994	1106	1075	4107	573	2.70	0.590	aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]
K00130	679.80	domain	all	0.675418	4940	4424	2595	591	3.84	0.590	betaine-aldehyde dehydrogenase [EC:1.2.1.8]
K00131	473.20	domain	trim	0.993561	1276	1087	1010	504	1.76	0.590	glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]
K00132	659.40	full	all	0.942661	472	406	890	493	1.51	0.590	acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]
K00133	212.90	full	all	0.995387	9476	7940	2473	620	5.87	0.590	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
K00134	411.83	full	all	0.758578	14395	11826	5414	450	5.26	0.590	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]
K00135	579.83	domain	all	0.680784	11942	10663	4423	694	4.89	0.590	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
K00137	682.33	domain	all	0.971506	987	793	813	476	0.93	0.591	aminobutyraldehyde dehydrogenase [EC:1.2.1.19]
K00138	722.67	domain	trim	0.981031	3677	3059	922	506	1.18	0.590	aldehyde dehydrogenase [EC:1.2.1.-]
K00139	814.67	full	all	0.834397	696	679	1855	636	1.85	0.590	succinate-semialdehyde dehydrogenase [EC:1.2.1.24]
K00140	500.77	domain	all	0.996642	7286	6425	5247	722	2.55	0.590	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]
K00141	650.30	domain	all	0.897820	769	680	677	485	1.52	0.590	benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28]
K00142	418.30	domain	all	0.995358	762	757	7016	1081	4.44	0.590	acyl-CoA synthetase [EC:6.2.1.-]
K00143	787.17	domain	trim	0.997050	176	169	2630	1398	1.21	0.590	L-2-aminoadipate reductase [EC:1.2.1.95]
K00145	148.93	full	all	0.902786	7313	6433	2007	434	3.97	0.590	N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]
K00146	690.40	domain	all	0.483976	1411	1159	897	497	1.94	0.591	phenylacetaldehyde dehydrogenase [EC:1.2.1.39]
K00147	547.60	full	all	0.959516	7202	6374	2086	608	3.84	0.590	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]
K00148	387.43	full	all	0.993891	1366	1144	791	387	1.12	0.590	glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]
K00149	783.23	domain	all	0.972697	600	584	1767	637	1.24	0.590	aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3]
K00150	318.47	domain	all	0.858180	1273	1071	702	349	3.70	0.590	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) [EC:1.2.1.59]
K00151	726.77	domain	all	0.980789	1175	929	721	498	1.27	0.591	5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]
K00152	1091.27	full	all	1.000000	10	8	483	483	0.42	0.592	salicylaldehyde dehydrogenase [EC:1.2.1.65]
K00153	415.07	domain	trim	0.994259	1052	962	960	404	1.11	0.591	S-(hydroxymethyl)mycothiol dehydrogenase [EC:1.1.1.306]
K00154	564.50	domain	all	0.957000	1817	1633	1161	485	1.76	0.590	coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]
K00155	988.80	domain	all	0.916667	21	21	1171	1032	0.98	0.589	L-tyrosine reductase [EC:1.2.1.101]
K00156	705.00	full	all	0.943340	3059	2663	2379	690	2.57	0.590	pyruvate dehydrogenase (quinone) [EC:1.2.5.1]
K00157	2211.47	full	all	0.954188	766	765	7240	1562	1.42	0.590	aldehyde oxidase [EC:1.2.3.1]
K00158	636.37	full	trim	0.936276	870	677	1000	575	2.19	0.590	pyruvate oxidase [EC:1.2.3.3]
K00161	428.27	full	all	0.801753	5853	4930	4061	498	4.50	0.590	pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]
K00162	475.60	full	all	0.817549	5422	4550	2550	390	1.99	0.590	pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]
K00163	288.37	full	all	1.000000	5003	4278	3109	978	2.41	0.590	pyruvate dehydrogenase E1 component [EC:1.2.4.1]
K00164	1212.97	domain	all	0.880537	6731	5806	7442	1036	2.12	0.590	2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
K00166	418.53	full	all	0.774146	4918	4349	3995	594	4.39	0.590	2-oxoisovalerate dehydrogenase E1 component subunit alpha [EC:1.2.4.4]
K00167	474.73	full	all	0.809907	4782	4073	3324	510	2.43	0.590	2-oxoisovalerate dehydrogenase E1 component subunit beta [EC:1.2.4.4]
K00169	302.20	full	all	0.873423	1201	1076	1458	452	2.99	0.590	pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]
K00170	312.90	full	all	0.817872	1119	954	965	339	2.92	0.590	pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]
K00171	102.73	domain	trim	0.825836	827	646	369	152	3.66	0.590	pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]
K00172	154.67	domain	all	0.858875	1010	871	908	334	5.65	0.590	pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]
K00174	258.57	full	all	0.919024	3675	3316	2203	642	4.63	0.590	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]
K00175	235.90	domain	all	0.932133	3730	3262	1717	491	5.07	0.590	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]
K00176	68.33	domain	all	0.964561	1258	1044	389	152	4.14	0.590	2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]
K00177	145.87	full	all	0.895128	1327	1154	615	339	3.22	0.590	2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]
K00179	423.33	full	trim	0.985733	1404	1337	3158	769	3.87	0.590	indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]
K00180	141.23	full	trim	0.962106	1343	1015	966	255	5.56	0.590	indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]
K00181	189.03	full	all	0.999227	688	648	3721	702	3.24	0.590	O-palmitoleoyl transferase [EC:2.3.1.250]
K00182	485.40	domain	trim	0.967468	960	794	1465	461	2.26	0.590	wingless-type MMTV integration site family, member 2
K00184	241.30	full	trim	0.964873	117	100	435	226	1.03	0.590	dimethyl sulfoxide reductase iron-sulfur subunit
K00185	330.00	full	all	0.994152	97	86	553	395	1.45	0.590	dimethyl sulfoxide reductase membrane subunit
K00186	470.20	full	trim	0.840741	179	157	522	384	1.72	0.591	2-oxoisovalerate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.7]
K00187	535.23	full	all	0.778009	149	138	618	479	1.43	0.590	2-oxoisovalerate ferredoxin oxidoreductase beta subunit [EC:1.2.7.7]
K00188	102.83	domain	all	0.903072	129	108	223	123	1.65	0.590	2-oxoisovalerate ferredoxin oxidoreductase delta subunit [EC:1.2.7.7]
K00189	267.70	full	trim	0.798341	62	58	251	184	1.27	0.590	2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.7 1.2.7.1]
K00192	698.00	full	all	1.000000	134	121	936	778	1.00	0.590	anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha [EC:1.2.7.4]
K00193	614.23	full	trim	0.941184	142	110	709	455	1.36	0.591	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta [EC:2.3.1.169]
K00194	223.57	full	all	0.953844	257	217	840	338	1.54	0.591	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245]
K00195	109.90	full	all	0.995305	131	109	223	172	2.41	0.590	anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit epsilon
K00196	147.50	domain	trim	0.572489	657	576	683	236	3.56	0.590	anaerobic carbon-monoxide dehydrogenase iron sulfur subunit
K00197	393.07	full	all	1.000000	272	237	902	459	1.44	0.591	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma [EC:2.1.1.245]
K00198	456.97	full	all	0.999134	628	581	1758	662	2.10	0.590	anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]
K00200	422.00	full	all	1.000000	457	433	973	550	1.64	0.590	formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]
K00201	180.43	full	all	0.998948	524	477	1103	456	4.63	0.590	formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]
K00202	179.87	full	all	1.000000	446	419	843	366	3.10	0.590	formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]
K00203	121.43	domain	trim	0.933590	254	193	200	131	3.39	0.590	formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12]
K00204	171.57	domain	all	0.988506	56	47	210	155	1.06	0.589	4Fe-4S ferredoxin
K00205	140.97	domain	trim	0.970318	222	164	667	357	1.44	0.590	4Fe-4S ferredoxin
K00206	658.93	full	all	0.994516	337	277	576	482	0.98	0.591	phosphonoacetaldehyde dehydrogenase [EC:1.2.1.-]
K00207	413.93	domain	all	0.986976	874	851	2968	1079	1.80	0.590	dihydropyrimidine dehydrogenase (NADP+) [EC:1.3.1.2]
K00208	266.17	full	all	0.967480	6294	4934	1413	433	3.66	0.590	enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]
K00209	152.40	full	all	0.998849	1524	1309	1241	406	2.39	0.589	enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]
K00211	421.53	full	all	0.992288	197	193	1347	475	0.96	0.591	prephenate dehydrogenase (NADP+) [EC:1.3.1.13]
K00212	665.27	domain	trim	0.537321	83	80	388	323	0.62	0.590	20alpha/3alpha-hydroxysteroid dehydrogenase / dihydrodiol dehydrogenase [EC:1.1.1.149 1.1.1.357 1.3.1.20]
K00213	433.07	full	all	0.974154	779	755	1714	560	2.86	0.590	7-dehydrocholesterol reductase [EC:1.3.1.21]
K00214	119.20	domain	all	1.000000	555	514	1181	370	2.63	0.590	biliverdin reductase [EC:1.3.1.24]
K00215	131.43	full	all	0.986953	8661	7369	2140	378	9.57	0.590	4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]
K00216	239.03	domain	all	0.988678	1190	916	1195	287	1.71	0.590	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]
K00217	278.43	full	trim	0.966550	897	823	854	392	3.96	0.590	maleylacetate reductase [EC:1.3.1.32]
K00218	257.20	domain	trim	0.966028	615	574	1074	436	2.93	0.590	protochlorophyllide reductase [EC:1.3.1.33]
K00219	586.33	full	all	1.000000	2671	2338	2473	868	1.47	0.590	2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]
K00220	384.77	full	all	0.973446	832	754	663	410	2.15	0.590	cyclohexadieny/prephenate dehydrogenase [EC:1.3.1.43 1.3.1.12]
K00221	113.67	full	all	0.877189	167	117	625	217	4.36	0.590	alkylmercury lyase [EC:4.99.1.2]
